Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
83,14:49:58.089,Dot Bot,Track Master 100,0.394000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
84,14:49:58.535,Dot Bot,Track Master 100,0.434000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
85,14:49:59.275,Dot Bot,Track Master 100,0.725000s,44,20,0.454545,1.000000,2.199999,0.454546,0,0
86,14:49:59.773,Dot Bot,Track Master 100,0.487000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
87,14:50:00.255,Dot Bot,Track Master 100,0.469000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
88,14:50:00.848,Dot Bot,Track Master 100,0.582000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
89,14:50:01.327,Dot Bot,Track Master 100,0.466000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
90,14:50:01.831,Dot Bot,Track Master 100,0.488000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
91,14:50:02.657,Dot Bot,Track Master 100,0.812000s,52,20,0.384615,1.000000,2.599999,0.384616,0,0
92,14:50:03.202,Dot Bot,Track Master 100,0.530000s,33,20,0.606061,1.000000,1.649999,0.606061,0,0
93,14:50:03.688,Dot Bot,Track Master 100,0.474000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
94,14:50:04.341,Dot Bot,Track Master 100,0.643000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
95,14:50:04.783,Dot Bot,Track Master 100,0.430000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
96,14:50:05.313,Dot Bot,Track Master 100,0.518000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
97,14:50:05.849,Dot Bot,Track Master 100,0.522000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
98,14:50:06.323,Dot Bot,Track Master 100,0.462000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
99,14:50:06.829,Dot Bot,Track Master 100,0.495000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
100,14:50:07.275,Dot Bot,Track Master 100,0.435000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
101,14:50:07.968,Dot Bot,Track Master 100,0.683000s,44,20,0.454545,1.000000,2.199999,0.454546,0,0
102,14:50:08.414,Dot Bot,Track Master 100,0.433000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
103,14:50:09.049,Dot Bot,Track Master 100,0.623000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
104,14:50:09.486,Dot Bot,Track Master 100,0.426000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
105,14:50:09.985,Dot Bot,Track Master 100,0.488000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,3439,2100,105.001808,171.955887,

Kills:,105
Deaths:,0
Fight Time:,57.882999
Time Remaining:,0.0
Avg TTK:,0.571238
Damage Done:,105.001808
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,2100
Miss Count:,1339
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1050.0
Scenario:,VT DotTS Intermediate S5
Hash:,dfb397975f6fcec5bd2ebf3cd0b7a66a
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:49:10.124
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,2.1
Vert Sens:,2.1
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,258.019409
Resolution Scale:,100.0
